id	multi	contrast	logFC	PValue	FDR	peptide_ids	phospho_ids	proteins	protein	gene_name	protein_names	sequence_length	n_razor_unique	reverse	contaminant
2562	1	Gib-WT	-0.0615	0.0636	0.0944	6643;11959;15849;39882;39883;53932	2425	I3L0X5;O75391;I3L4C3;I3L0Q5	I3L0X5;O75391;I3L4C3	SPAG7	Sperm-associated antigen 7	176	6	NA	NA
2567	1	Gib-WT	0.134	0.285	0.346	718;719;6346;19866;25831;35871;38583;39617	NA	I3L1P8;Q02978	I3L1P8;Q02978	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	296	8	NA	NA
2568	1	Gib-WT	-0.116	0.387	0.451	9094;21689;58904;58910	2431;2432;9300	Q8WUZ0;I3L1Q2;I3L4D5	Q8WUZ0;I3L1Q2	BCL7C	B-cell CLL/lymphoma 7 protein family member C	217	3	NA	NA
2571	1	Gib-WT	-0.371	0.0176	0.0312	2213;14039;38189;49993	2433;2434;2435;9301;9302	I3L2B2;F6PQP6;O95208;I3L356;I3L2H1;E9PBC1	I3L2B2;F6PQP6;O95208;I3L356;I3L2H1;E9PBC1	EPN2	Epsin-2	577	4	NA	NA
2572	1	Gib-WT	0.099	0.0493	0.0758	2862;3050;10278;12932;29531;34307;45968;46919;48620;52259;56316;59885	NA	I3L2C7;P57678;I3L4A4;I3L399;E7EN12;I3L4M4;I3L1J7	I3L2C7;P57678	GEMIN4	Gem-associated protein 4	1047	12	NA	NA
2574	1	Gib-WT	0.301	7.66e-6	7.41e-5	649;4507;4769;16191;20778;38347;42920;43673;56341;56880	2436;2437;2438;2439;2440;9303	I3L2J0;A0A0A0MQR4;Q96RK0;I3L373;I3L135;I3L1Q4	I3L2J0;A0A0A0MQR4;Q96RK0	CIC	Protein capicua homolog	2514	10	NA	NA
2575	1	Gib-WT	0.0391	0.543	0.602	2439;17591;18495;19195;21583;26331;34810;45699;47039;47040;55908	2441;2442;2443	I3L2N2;O14641;I3L2W9;A0A3B3ITC6;I3L0M7;I3L0Z8	I3L2N2;O14641;I3L2W9	DVL2	Segment polarity protein dishevelled homolog DVL-2	730	11	NA	NA
2576	1	Gib-WT	0.212	0.397	0.46	415;45333;46582	2444	I3L2Z9;I3L100;I3L2W2;Q96JN8;K7EPS7	I3L2Z9;I3L100;I3L2W2;Q96JN8	NEURL4	Neuralized-like protein 4	1017	3	NA	NA
2578	1	Gib-WT	-0.182	0.00149	0.00386	964;11347;26463;27821;28604;32369;32370;36948;55609;59209	2445	I3L397;I3L504;P63241;Q6IS14;F8WCJ1;C9J7B5;C9J4W5;Q9GZV4	I3L397;I3L504;P63241;Q6IS14;F8WCJ1;C9J7B5;C9J4W5;Q9GZV4	EIF5A;EIF5AL1;EIF5A2	Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like;Eukaryotic translation initiation factor 5A-2	146	10	NA	NA
2579	1	Gib-WT	0.139	0.0474	0.0732	17094;22754;26583;35735;46107;58794	NA	P62244;I3L3P7;H3BVC7	P62244;I3L3P7	RPS15A	40S ribosomal protein S15a	130	6	NA	NA
2580	1	Gib-WT	-0.24	6.94e-4	0.00205	7652;30916;58099	NA	Q9Y5R8;I3L3S0;I3L3V5	Q9Y5R8;I3L3S0	TRAPPC1	Trafficking protein particle complex subunit 1	145	3	NA	NA
2581	1	Gib-WT	0.494	0.0288	0.0474	14984;42037;43575;52069	2446;2447;2448;2449;2450	I3L3Z2;Q9BRA0;A0A0B4J297;I3L310;I3L4V0	I3L3Z2;Q9BRA0;A0A0B4J297;I3L310;I3L4V0	NAA38	"N-alpha-acetyltransferase 38, NatC auxiliary subunit"	135	4	NA	NA
2584	1	Gib-WT	0.403	1.72e-5	1.26e-4	3311;18687;44601	NA	I3L448;Q5TC12;A8MRA7;E9PPX6;H0YDD6;H0YCA6;H0YEW4;H0YD21	I3L448;Q5TC12;A8MRA7	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	351	3	NA	NA
2585	1	Gib-WT	0.126	0.00532	0.0112	25093;56488;60232	NA	I3L4G8;I3L4A1;Q96FZ7;I3L3E4	I3L4G8;I3L4A1;Q96FZ7;I3L3E4	CHMP6	Charged multivesicular body protein 6	173	3	NA	NA
2588	1	Gib-WT	-0.585	1.18e-5	9.74e-5	11060;38361;60059	NA	I3NI44;J3KQU4;I3L4I4;O75674;I3L3T4;I3L367;I3L1Q1;I3L4N3;I3L4G0;I3L1G1	I3NI44;J3KQU4;I3L4I4;O75674;I3L3T4;I3L367	TOM1L1	TOM1-like protein 1	326	3	NA	NA
2590	1	Gib-WT	0.0725	0.185	0.238	1862;7666;11438;15989;16112;18860;22802;24472;29363;41074;50241	10564	I3L4X2;P33527;A0A7I2V2E0;A0A0A0MS99;A0A7I2V4C6	I3L4X2;P33527;A0A7I2V2E0;A0A0A0MS99	ABCC1	Multidrug resistance-associated protein 1	1440	11	NA	NA
2591	1	Gib-WT	0.0262	0.737	0.78	29160;29161;35090	NA	I3L531;P53384	I3L531;P53384	NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1	168	3	NA	NA
2593	1	Gib-WT	-0.101	0.0973	0.136	20345;25299;34820;38702;39540	NA	J3KMZ7;Q9H0H0;J3KRH0;A0A2R8Y7F8;A0A2R8Y4Z6	J3KMZ7;Q9H0H0	INTS2	Integrator complex subunit 2	1196	5	NA	NA
2594	1	Gib-WT	-0.119	0.0624	0.093	5089;6812;12343;20680;27369;33351;38970;45567;51209;54530;58777	2452;2453;2454	J3KMZ8;Q92785;E9PN04;H0YEI1;J3KQY6;C8C3P2;E9PDV3;Q92784;Q92782	J3KMZ8;Q92785	DPF2	Zinc finger protein ubi-d4	405	11	NA	NA
2595	1	Gib-WT	0.101	0.0158	0.0284	17629;22054;34757;36693;37199;38736;45213;53360	NA	J3KMZ9;P01130;H0YMD1;H0YM92	J3KMZ9;P01130;H0YMD1	LDLR	Low-density lipoprotein receptor	945	8	NA	NA
2596	1	Gib-WT	0.171	0.0115	0.0215	4099;8805;19707;20128;23109;27674;42274	NA	J3KN29;O00233;F5H5V4;F5GX23;F5H169;F5H7X1	J3KN29;O00233;F5H5V4;F5GX23;F5H169	PSMD9	26S proteasome non-ATPase regulatory subunit 9	222	7	NA	NA
2597	1	Gib-WT	0.0754	0.514	0.575	18749;21353;27401	2455;9304	J3KN59;Q12982	J3KN59;Q12982	BNIP2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	435	3	NA	NA
2599	1	Gib-WT	0.144	0.128	0.172	172;1526;3390;11322;11656;13836;21670;22776;22777;25818;27769;29077;31962;34292;35125;35493;43085;51402;51403;60449	NA	J3KN67;A0A2R2Y2Q3;A0A494C0P6;A0A494C034	J3KN67;A0A2R2Y2Q3;A0A494C0P6	TPM3	NA	285	3	NA	NA
2602	1	Gib-WT	-0.437	8.43e-6	7.92e-5	4060;8652;11168;26548;33968;39940;48251;54200;58269;58506	2463;2464	J3KNN7;Q7Z569	J3KNN7;Q7Z569	BRAP	BRCA1-associated protein	562	10	NA	NA
2605	1	Gib-WT	-0.0483	0.319	0.381	2119;15013;17888;19466;59876	2469	J3KNZ9;Q9HAH7;H3BRE6	J3KNZ9;Q9HAH7	FBRS	Probable fibrosin-1	980	5	NA	NA
2608	1	Gib-WT	0.363	1.72e-6	3.1e-5	1346;3787;3974;5346;5740;5749;7679;11813;13113;14133;14338;16185;16978;18545;20088;24585;27550;28519;29557;32924;37383;41599;46623;47596;47987;48116;50161;50847;51157;51836;54856;56480;59472	2472;2473;9308	J3KP58;F5H0N7;F5H6A0;F5H1T5;A0A3B3IS27;F5H367;F5H270	J3KP58;F5H0N7;F5H6A0	CLIP1	NA	1316	33	NA	NA
2610	1	Gib-WT	-0.304	0.0828	0.119	11881;28753;47106;48682;50683;54140	2474;2475;2476;9310;9311	J3KPF0;F8VWT9;Q9Y4D8;F8VU57;A0A494C150	J3KPF0;F8VWT9;Q9Y4D8	HECTD4	Probable E3 ubiquitin-protein ligase HECTD4	4416	6	NA	NA
2613	1	Gib-WT	-0.043	0.415	0.479	2214;2782;10526;22329;28189;33341;35350;38555;42505	NA	J3KPS0;Q9NXW2;V9GYN7;V9GY70	J3KPS0;Q9NXW2;V9GYN7	DNAJB12	DnaJ homolog subfamily B member 12	409	9	NA	NA
2614	1	Gib-WT	-0.0073	0.951	0.961	10973;34942;53831;58440	NA	J3KPT4;Q9H4I3	J3KPT4;Q9H4I3	TRABD	TraB domain-containing protein	379	4	NA	NA
2615	1	Gib-WT	0.0294	0.324	0.386	1855;8002;11647;16371;16372;17241;17909;19081;22949;24614;31250;32755;49741;59205;59796	NA	J3KQ32;Q9NTK5;C9JCJ9;C9JTK6	J3KQ32;Q9NTK5	OLA1	Obg-like ATPase 1	416	15	NA	NA
2616	1	Gib-WT	-0.198	4.98e-4	0.00156	5485;14966;52756	NA	J3KQ34;Q9H9Q2;J3QT73;A0A087X1P5;J3KQ41	J3KQ34;Q9H9Q2;J3QT73;A0A087X1P5	COPS7B	COP9 signalosome complex subunit 7b	230	3	NA	NA
2618	1	Gib-WT	0.322	5.28e-4	0.00163	42465;43274;51352;54049	NA	J3KQ48;Q9Y3E5	J3KQ48;Q9Y3E5	PTRH2	"Peptidyl-tRNA hydrolase 2, mitochondrial"	180	4	NA	NA
2622	1	Gib-WT	-0.778	2.01e-6	3.32e-5	734;17968;52104	NA	Q9BX79;J3KQI6;I3L2B6	Q9BX79;J3KQI6;I3L2B6	STRA6	Stimulated by retinoic acid gene 6 protein homolog	667	3	NA	NA
2623	1	Gib-WT	0.108	0.0845	0.12	17026;18284;29809;32548;35321;41342;43192	NA	J3KQJ1;Q8NBJ7;C9JL30;A8MXB9;H7C3B2;A0A494C1B1;C9J660;F8WA42;E9PBT8;J3QT17;E9PG02;F8WEV7;F8WES7;F8WEX5	J3KQJ1;Q8NBJ7;C9JL30;A8MXB9;H7C3B2;A0A494C1B1;C9J660;F8WA42	SUMF2	Sulfatase-modifying factor 2	320	7	NA	NA
2624	1	Gib-WT	0.17	0.0234	0.0397	3047;4046;13273;25966;37358;57977	NA	J3KQL8;Q9BQE5;E9PM95	J3KQL8;Q9BQE5	APOL2	Apolipoprotein L2	449	6	NA	NA
2626	1	Gib-WT	-0.0321	0.281	0.341	2668;11556;20930;23023;29673;31229;38863;38864	NA	J3KR35;Q8WUD4;S4R331;C9JUN5	J3KR35;Q8WUD4;S4R331;C9JUN5	CCDC12	Coiled-coil domain-containing protein 12	179	8	NA	NA
2627	1	Gib-WT	0.0354	0.365	0.429	11962;16008;16581;18814;25862;31869;39011;39998;52841	2487;2488	J3KR44;Q96FW1;F5GYN4;F5H6Q1;F5GYJ8;F5H3F0	J3KR44;Q96FW1;F5GYN4;F5H6Q1;F5GYJ8;F5H3F0	OTUB1	Ubiquitin thioesterase OTUB1	272	9	NA	NA
2628	1	Gib-WT	0.0612	0.142	0.189	3994;4403;12943;13803;17595;19418;20958;34080;34458;39845;44079;49478	2489	J3KR72;P49848;C9JFL8;C9JTY6;E5RKA5;F8WEJ7;C9J7C4;C9JIS2;E5RHA1;C9J088;C9JHQ8	J3KR72;P49848	TAF6	Transcription initiation factor TFIID subunit 6	734	12	NA	NA
2629	1	Gib-WT	-0.0438	0.218	0.275	628;3349;3710;6287;17995;23445;28702;29356;33028;40557;44717;47953	NA	Q9BTW9;J3KR97;A0A0J9YVR1;A0A0J9YWI5;I3L439;I3L0V3;I3L163;I3L143;I3L131;I3L500;I3L3H4;I3L4D2;A0A0J9YVU1;I3L120;A0A0J9YXU4;I3L1S3;A0A0J9YYG2	Q9BTW9;J3KR97	TBCD	Tubulin-specific chaperone D	1192	12	NA	NA
2632	1	Gib-WT	0.391	0.0757	0.11	44988;46928;50709	2492;2493;2494	Q9NQC7;J3KRR7;H3BS09	Q9NQC7;J3KRR7;H3BS09	CYLD	Ubiquitin carboxyl-terminal hydrolase CYLD	956	3	NA	NA
2633	1	Gib-WT	-0.0569	0.185	0.238	8858;30397;34700;39395;46241;48363	NA	Q14197;J3KS15;J3QRF8	Q14197;J3KS15	ICT1	"Peptidyl-tRNA hydrolase ICT1, mitochondrial"	206	6	NA	NA
2634	1	Gib-WT	0.114	0.00333	0.00753	6072;6297;18143;21858;22058;52609;56445;56476	NA	J3KS22;J3QS36;Q7Z4W1;J3QS45;J3KRZ4;J3KSZ5;J3QL34	J3KS22;J3QS36;Q7Z4W1;J3QS45;J3KRZ4;J3KSZ5;J3QL34	DCXR	L-xylulose reductase	223	8	NA	NA
2641	1	Gib-WT	0.355	8.33e-4	0.00239	38;103;14362;19166	2501	J3QQY0;J3KSZ8;Q68DK7	J3QQY0;J3KSZ8;Q68DK7	MSL1	Male-specific lethal 1 homolog	461	4	NA	NA
2646	1	Gib-WT	-0.0257	0.452	0.516	2364;4215;7856;10389;10927;13186;17786;18501;19984;21934;28585;30946;31748;31749;31969;35488;36905;40742;41231;42399;43710;43759;48961;50137;51255;51569;53498;58751	2505	J3KTA4;P17844;A0A0G2JLI4;A0A7I2V507;A0A7I2V2S0;A0A7I2V5F5;J3QRQ7;J3KRZ1;J3QSF1;J3QR02;J3KTQ4;X6RLV5;J3QKN9;J3QLG9;J3QR62;J3QRN5	J3KTA4;P17844;A0A0G2JLI4;A0A7I2V507;A0A7I2V2S0;A0A7I2V5F5	DDX5	Probable ATP-dependent RNA helicase DDX5	614	28	NA	NA
2648	1	Gib-WT	0.162	0.0586	0.0882	1421;1677;24081;46148;46149;50538;59691	2508;10566	J3KTF8;J3QQX2;P52565;J3KRE2;J3KRY1;J3KS60	J3KTF8;J3QQX2;P52565;J3KRE2;J3KRY1	ARHGDIA	Rho GDP-dissociation inhibitor 1	193	7	NA	NA
2651	1	Gib-WT	0.207	0.0593	0.089	6694;7817;7858;7996;10761;11364;20596;26728;45849;51592;54608	2511;2512	J3KTL2;Q07955;J3KSR8;J3QQV5;J3KSW7	J3KTL2;Q07955	SRSF1	Serine/arginine-rich splicing factor 1	253	11	NA	NA
2652	1	Gib-WT	0.0472	0.0987	0.137	13465;14494;21980;26226;28898;29632;31282;35357;38770;40036;47532	NA	J3QK89;Q8IWX8	J3QK89;Q8IWX8	CHERP	Calcium homeostasis endoplasmic reticulum protein	927	11	NA	NA
2657	1	Gib-WT	0.284	0.00199	0.00487	10799;11908;18844;27315;58448	NA	J3QL56;O75880	J3QL56;O75880	SCO1	"Protein SCO1 homolog, mitochondrial"	270	5	NA	NA
2658	1	Gib-WT	0.182	0.0684	0.1	7403;21052;37237	2514	J3QL71;Q96FV2;J3QQM9;J3KS57;J3KT79;J3QR84	J3QL71;Q96FV2;J3QQM9	SCRN2	Secernin-2	433	3	NA	NA
2661	1	Gib-WT	0.0995	0.0166	0.0297	18899;23088;35573;43805	NA	J3QLE5;P63162;P14678;J3KRY3;S4R3P3	J3QLE5;P63162;P14678;J3KRY3;S4R3P3	SNRPN;SNRPB	Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated proteins B and B	169	4	NA	NA
2663	1	Gib-WT	-0.0155	0.82	0.849	11041;37742;54821;56285	NA	J3QLM1;Q14849;J3QRM3;C9J555	J3QLM1;Q14849	STARD3	StAR-related lipid transfer protein 3	475	4	NA	NA
2666	1	Gib-WT	0.237	2.11e-4	8.05e-4	17675;17929;28035;31396;37954;53201	NA	J3QLS3;Q9Y2R9;J3QQS1;J3KSI8;J3QKW2	J3QLS3;Q9Y2R9;J3QQS1;J3KSI8;J3QKW2	MRPS7	"28S ribosomal protein S7, mitochondrial"	271	6	NA	NA
2667	1	Gib-WT	-0.0119	0.707	0.754	9028;9145;12364;19371;24258;30450;37701;41892;51608;53485	2517	J3QQJ0;Q9UHR5;F5H478;J3KRU5;J3QLH3;J3KS14;X6R3T8;J3QLM2;J3KRR6	J3QQJ0;Q9UHR5;F5H478;J3KRU5;J3QLH3;J3KS14;X6R3T8	SAP30BP	SAP30-binding protein	325	10	NA	NA
2668	1	Gib-WT	-0.171	0.016	0.0287	3253;5156;18930;37445;42367;45539;51558	2518;2519	J3QQW9;Q15022	J3QQW9;Q15022	SUZ12	Polycomb protein SUZ12	716	7	NA	NA
2669	1	Gib-WT	0.18	0.00453	0.00974	18752;20201;27706;32360;36676;48622	2520	J3QQZ9;Q9NVS9;J3QQV6;A0A286YFL3	J3QQZ9;Q9NVS9;J3QQV6	PNPO	Pyridoxine-5-phosphate oxidase	238	6	NA	NA
2670	1	Gib-WT	0.182	0.00275	0.00644	3017;9265;10120;19800;22151;24151;24621;33615;35521;43599;44776;45704;45732;47678	2521;2522;2523;2524;2525;2526;2527;2528;2529	Q96MU7;J3QR07;J3KRG5	Q96MU7;J3QR07	YTHDC1	YTH domain-containing protein 1	727	14	NA	NA
2678	1	Gib-WT	-0.516	1.01e-5	8.83e-5	38275;55739;55903	2532;2533	K7EIG7;J3QRN6;O94832;J3KRL0	K7EIG7;J3QRN6;O94832;J3KRL0	MYO1D	Unconventional myosin-Id	918	3	NA	NA
2679	1	Gib-WT	-0.198	0.00434	0.00943	5746;10743;13520;17634;20467;32142	2534;9318	J3QRS3;P19105;O14950;J3KTJ1	J3QRS3;P19105;O14950;J3KTJ1	MYL12A;MYL12B	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	177	6	NA	NA
2680	1	Gib-WT	0.127	0.126	0.17	15310;25206;31015;38953	NA	J3QRS9;X6R4W8;O43670;J3KS31;J3QS27;J3KTL1;J3KRB6;J3KRW6;H0Y3M2	J3QRS9;X6R4W8;O43670;J3KS31	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	493	4	NA	NA
2681	1	Gib-WT	0.101	0.131	0.176	520;18355;30963;34088;58853;60321	10567	J3QRU1;P07947;P06241;E5RFS5;Q5TGY6;P09769	J3QRU1;P07947;P06241	YES1;FYN	Non-specific protein-tyrosine kinase;Tyrosine-protein kinase Yes;Tyrosine-protein kinase Fyn	548	3	NA	NA
2682	1	Gib-WT	-0.145	8.06e-4	0.00232	1786;3090;13988;21844;22030;22080;22727;27434;34188;41426;44301;46902;48008;56703	2535;2536;2537;2538;2539	J3QRU8;Q9Y2X7;A0A0C4DGN6;J3QLH1;J3QL89;J3QQI0;K7EN79	J3QRU8;Q9Y2X7;A0A0C4DGN6	GIT1	ARF GTPase-activating protein GIT1	694	14	NA	NA
2683	1	Gib-WT	-0.1	0.129	0.173	4606;6544;8014;10461;26186;28588;32834;34063;34424;41663;42265;43090;46939;53669;53796;58327;58738;59034;59416	2540;2541;2542;2543;2544;2545;9319;9320	J3QS41;P42694;A0A075B6R3;J3QRR8	J3QS41;P42694	HELZ	Probable helicase with zinc finger domain	1943	19	NA	NA
2684	1	Gib-WT	0.317	2.52e-4	9.19e-4	10343;34550;50303	NA	Q14119;J3QSH4;J9JIC7	Q14119;J3QSH4;J9JIC7	VEZF1	Vascular endothelial zinc finger 1	521	3	NA	NA
2688	1	Gib-WT	-0.193	0.00812	0.016	2879;10833;13333;18607;31684;49667;55300	2547	J9JIC5;Q9HAS0;J3KRR1;J3QKQ1;K7EII1	J9JIC5;Q9HAS0;J3KRR1	C17orf75	Protein Njmu-R1	396	7	NA	NA
2690	1	Gib-WT	-0.153	7.93e-4	0.00229	1886;1887;2580;4582;8097;10738;11043;11088;11262;15477;15797;16822;20168;24367;25530;29671;31148;32383;34789;39598;42556;43069;44253;46626;48871;49338;51955	2548;2549;9321;9322;9323;9324	K4DI93;A0A669KAX4;Q13620;A0A669KAU9	K4DI93;A0A669KAX4;Q13620	CUL4B	Cullin-4B	900	27	NA	NA
2699	1	Gib-WT	-0.804	4.08e-4	0.00133	2743;4184;7413;15391;16307;19105;26695;40247;56898;59085	NA	K7EIU8;Q13485;K7ES96;K7EL18;K7EIJ2;A0A087WUF3;K7EL15;K7ELK2;K7ENG1	K7EIU8;Q13485;K7ES96	SMAD4	Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog 4	456	10	NA	NA
2700	1	Gib-WT	-0.0373	0.381	0.446	4107;11402;23084;27546;33252;34379;40153;43888;44066;45407;57526	2552;2553;2554;2555	K7EIX2;Q6AI08;A0A087WXZ7;K7ELR8;K7EK31;K7EKB1;K7EKW7;K7ESP5	K7EIX2;Q6AI08;A0A087WXZ7	HEATR6	HEAT repeat-containing protein 6	1069	11	NA	NA
2702	1	Gib-WT	-0.0825	0.0831	0.119	7911;11106;11716;47600	2556;2557	K7ELY2;X6R2W0;K7EIY4;Q5U8S2;O60499;K7EJ05;K7EPP9;F6RTM7;K7EQ84;K7EK75	K7ELY2;X6R2W0;K7EIY4;Q5U8S2;O60499;K7EJ05;K7EPP9	STX10	Syntaxin-10	201	4	NA	NA
2704	1	Gib-WT	0.117	0.0475	0.0733	368;8087;29239;39556;40820;60461	NA	K7EJC8;O95249;G5E9T8	K7EJC8;O95249;G5E9T8	GOSR1	Golgi SNAP receptor complex member 1	236	6	NA	NA
2705	1	Gib-WT	-0.113	0.0342	0.0553	8137;23217;25165;26967;41638;54113	NA	K7EJR3;R4GMR5;P48556;K7EJC1;K7ERW6;K7ENY6	K7EJR3;R4GMR5;P48556;K7EJC1	PSMD8	26S proteasome non-ATPase regulatory subunit 8	250	6	NA	NA
2708	1	Gib-WT	0.0623	0.0953	0.134	12696;17413;44157;60322	NA	K7EK07;P84243	K7EK07;P84243	H3F3B;H3F3A	Histone H3;Histone H3.3	132	4	NA	NA
2709	1	Gib-WT	-0.0563	0.562	0.62	9117;21015;24513;35708;47747	NA	K7EQ55;K7EK33;Q96EP5;K7EQ02	K7EQ55;K7EK33;Q96EP5;K7EQ02	DAZAP1	DAZ-associated protein 1	406	5	NA	NA
2712	1	Gib-WT	-0.0898	0.034	0.055	2511;3109;3673;4446;4447;7790;10656;15154;17607;18529;23593;25274;30549;35132;40842;41253;42608;50755;54006;59864;60424	NA	K7EKE6;P36776;K7EJE8;K7ER27;K7ERR6;K7ER56	K7EKE6;P36776;K7EJE8	LONP1	"Lon protease homolog, mitochondrial"	845	21	NA	NA
2713	1	Gib-WT	0.199	0.164	0.214	23837;33120;43050;52937	2558;2559	K7EKG9;Q14CW9;K7EMZ3;K7ENZ2;K7ENU1;K7EJK2	K7EKG9;Q14CW9;K7EMZ3;K7ENZ2;K7ENU1	ATXN7L3	Ataxin-7-like protein 3;SAGA-associated factor 11	308	4	NA	NA
2714	1	Gib-WT	-0.0949	0.0742	0.108	5547;28480;43490;55401	NA	K7EKI4;K7ELF1;K7ELQ0;K7ES61;X6RAY8;Q9BYD3	K7EKI4;K7ELF1;K7ELQ0;K7ES61;X6RAY8;Q9BYD3	MRPL4	"39S ribosomal protein L4, mitochondrial"	127	4	NA	NA
2722	1	Gib-WT	0.337	1.79e-5	1.3e-4	969;9889;11339;13069;13146;15223;15700;19768;32403;42584;57768	2564;9325	K7EL20;O75821;K7ER90;K7ENA8;K7EP16;K7EL60	K7EL20;O75821;K7ER90;K7ENA8	EIF3G	Eukaryotic translation initiation factor 3 subunit G	262	11	NA	NA
2724	1	Gib-WT	-0.364	0.0963	0.135	2625;2626;48381	2565;2566;2567	K7ELE9;Q66K64	K7ELE9;Q66K64	DCAF15	DDB1- and CUL4-associated factor 15	272	3	NA	NA
2725	1	Gib-WT	0.291	0.00231	0.00553	4712;7772;7773;8823;10961;14973;15376;27680;30486;30975;34551;35786;44763;46465;56572;59293	2568	K7ELL7;P14314;K7EPW7;A0A7I2V2T6;A0A0C4DGP4;K7EKX1;K7EJ70	K7ELL7;P14314	PRKCSH	Glucosidase 2 subunit beta	535	16	NA	NA
2729	1	Gib-WT	-0.469	9.65e-6	8.56e-5	3155;8736;8775;15295;15296;16591;20330;52951;57508	NA	K7EMM8;Q49A26;K7EQB2;K7EPU6	K7EMM8;Q49A26	GLYR1	Putative oxidoreductase GLYR1	524	9	NA	NA
2732	1	Gib-WT	0.126	0.00692	0.0139	46738;52096;55897;59868	NA	V9GZ55;K7ENR6;Q969U7	V9GZ55;K7ENR6;Q969U7	PSMG2	Proteasome assembly chaperone 2	209	4	NA	NA
2733	1	Gib-WT	0.236	0.00253	0.00598	24425;45880;49918	NA	K7EP90;Q9BTD8;K7EQ03;K7ER08	K7EP90;Q9BTD8;K7EQ03	RBM42	RNA-binding protein 42	458	3	NA	NA
2736	1	Gib-WT	-0.171	0.00251	0.00594	665;15101;23794;46297	2575;2576	O60291;K7EPJ5;B4DR12	O60291;K7EPJ5	MGRN1	E3 ubiquitin-protein ligase MGRN1	552	4	NA	NA
2740	1	Gib-WT	0.371	4.89e-6	5.54e-5	4420;24677;46234;58930;59481	NA	K7EQL6;Q8NFA0;K7EL53;K7EKZ1	K7EQL6;Q8NFA0	USP32	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 32	1274	5	NA	NA
2744	1	Gib-WT	0.191	2.51e-4	9.17e-4	9053;16921;29254;30525;31294;40067;43142;46131;51346;56640;57962	2580;9326	K7ER00;Q9Y285;K7EPH2;K7ER16;K7ERS0;K7EK06	K7ER00;Q9Y285;K7EPH2	FARSA	Phenylalanine--tRNA ligase alpha subunit	548	11	NA	NA
2745	1	Gib-WT	0.146	0.00159	0.00407	12754;16458;27130;31100	NA	Q06136;K7ERC8;K7EQS7	Q06136;K7ERC8;K7EQS7	KDSR	3-ketodihydrosphingosine reductase	332	4	NA	NA
2747	1	Gib-WT	0.384	1.86e-4	7.28e-4	3691;24046;60068	2581	K7ERF1;Q9UBQ5;K7ES31;A0A087WVB9;K7EK53;K7EQM4	K7ERF1;Q9UBQ5;K7ES31;A0A087WVB9	EIF3K	Eukaryotic translation initiation factor 3 subunit K	192	3	NA	NA
2748	1	Gib-WT	0.31	1.62e-5	1.21e-4	2331;26410;37767;46284;59386	NA	K7ERI7;P35268;K7ELC4;K7EMH1;K7EJT5;K7EP65;K7EKS7	K7ERI7;P35268;K7ELC4;K7EMH1;K7EJT5;K7EP65;K7EKS7	RPL22	60S ribosomal protein L22	95	5	NA	NA
2755	1	Gib-WT	1.09	7.56e-7	1.96e-5	19087;38038;43779	NA	L0R6Q1	L0R6Q1	SLC35A4	NA	103	3	NA	NA
2756	1	Gib-WT	-0.0636	0.138	0.184	1767;3402;12547;13766;16653;18316;26241;32469;36152;37493	NA	M0QWZ7;Q9NP81;B4DJM9;M0R259;M0R1C0;M0R2H5;M0QX29	M0QWZ7;Q9NP81;B4DJM9;M0R259	SARS2	"Serine--tRNA ligase, mitochondrial"	518	10	NA	NA
2758	1	Gib-WT	0.41	8.34e-7	2.12e-5	178;1137;4755;11363;13902;19232;20064;21446;22818;27714;28383;36148;43449;46781;47599;52415;52986;53949	986;987;988	M0QXA7;A0A669KBH9;A0A669KAV7	M0QXA7;A0A669KBH9;A0A669KAV7	WIZ	NA	968	18	NA	NA
2759	1	Gib-WT	0.165	0.00286	0.00666	4253;9583;27237;35235;36364	2585;2586	O14579;M0QXB4;M0R061	O14579;M0QXB4;M0R061	COPE	Coatomer subunit epsilon	308	5	NA	NA
2760	1	Gib-WT	-0.245	0.12	0.163	191;6407;15650;27950;29192;30472;37438;39313	NA	M0QZ10;M0QXF9;O15382;B3KSI3;M0QZP4;M0R2K7	M0QZ10;M0QXF9;O15382;B3KSI3;M0QZP4	BCAT2	"Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase, mitochondrial"	405	8	NA	NA
2762	1	Gib-WT	0.308	5.94e-5	3.12e-4	3953;22530;26424;28655;35898;37629;38654;57389;57390	NA	M0QXL5;P22087;M0R299;M0R2Q4;M0R0P1;M0R2U2;M0R1H0;M0R2B0;M0QXC9	M0QXL5;P22087;M0R299;M0R2Q4;M0R0P1;M0R2U2;M0R1H0;M0R2B0	FBL	rRNA 2-O-methyltransferase fibrillarin	244	9	NA	NA
